,Coefficients
func_dec: hsi,0.6647135589354354
func_dec: pnp,0.6639204086562377
func_dec: recovery,0.6623463194189714
func_dec: populate,0.6621892485270237
func_dec: qctor,0.6588719929520185
func_dec: vfop,0.6588719929520185
func_dec: dsp,0.655189031746707
func_dec: ipc,0.6545547162188379
func_dec: argv,0.6534624237249241
func_dec: offs,0.6525137551629842
func_dec: tag,0.6483385380316745
func_dec: ecdh,0.6482586922605464
func_dec: v4l2,0.6460092391163208
func_dec: push,0.6413623724488752
func_dec: dquot,0.636924742197931
func_dec: on,0.6364350828500922
func_dec: rq,0.6323956154756832
func_dec: ctor,0.6315932269957
func_dec: tse,0.630356030483989
func_dec: ahci,0.6281869944855695
func_dec: gate,0.6281271773660746
func_dec: sm750,0.6278207790130296
func_dec: m88,0.6278084324658548
func_dec: via,0.6272790973937171
func_dec: devres,0.6241078965793244
func_dec: pcf50633,0.6232658252230462
func_dec: mux,0.622166490491401
func_dec: vpd,0.6220921294085573
func_dec: ibmasm,0.6212873956450298
func_dec: store,0.6209634939482311
func_dec: zero,0.6206906534936056
func_dec: request,0.6203987768587025
func_dec: ixgbe,0.618230981934153
func_dec: bfa,0.6172026062724193
func_dec: adf,0.6170317452552093
func_dec: dpm,0.6159465020280722
func_dec: decompress,0.6141413573965473
func_dec: vha,0.6140843765955103
func_dec: ae,0.6123594268104211
func_dec: i2s,0.6123509077678363
func_dec: command,0.6116879439308756
func_dec: bio,0.6103773439889054
func_dec: mixer,0.6064013994358083
func_dec: pmu,0.6055032078779548
func_dec: trigger,0.6032600837508011
func_dec: mvi,0.6031137684493095
func_dec: sq,0.6030733367411413
func_dec: inline,0.6028182031161852
func_dec: sym,0.6026796353002919
func_dec: array,0.6019039237930973
func_dec: gr,0.6018664387284908
func_dec: lru,0.6010259813026418
func_dec: received,0.6002358185057549
func_dec: amd,0.5992125121739518
func_dec: asd,0.5971000245359791
func_dec: finalize,0.5951223173545247
func_dec: ODM,0.5929517632687772
func_dec: nitrox,0.5929424292932258
func_dec: namespace,0.5922672861181895
func_dec: pdev,0.5903489135702861
func_dec: e1000e,0.590307892003641
func_dec: ext4,0.5901158249154587
func_dec: move,0.587274284907406
func_dec: zmd,0.5869026774586679
func_dec: dmz,0.5869026774586679
func_dec: nfp,0.5864398569293288
func_dec: engine,0.5861394655306004
func_dec: firmware,0.5838674950538938
func_dec: report,0.5837299554101217
func_dec: w1,0.5833193321336944
func_dec: atombios,0.5829025023706202
func_dec: wqe,0.5813664139641546
func_dec: r600,0.5810574685289096
func_dec: divider,0.5809507894394846
func_dec: subdev,0.5796763402865458
func_dec: ni,0.5786211178245627
func_dec: comedi,0.5783995697854468
func_dec: any,0.5782989624051086
func_dec: rw,0.577493788782162
func_dec: Hal,0.5772947191776612
func_dec: lola,0.5760174925291546
func_dec: anon,0.5754784631032368
func_dec: rf90,0.5749875945799954
func_dec: qpair,0.5748471951032453
func_dec: dbi,0.5728964276930234
func_dec: applicant,0.5723995989025197
func_dec: segment,0.5718730542093542
func_dec: radar,0.5708820112744367
func_dec: ipack,0.5702299748703293
func_dec: ZSTD,0.5700209413384743
func_dec: t1,0.5696723293233202
func_dec: root,0.5691991201110878
func_dec: legal,0.5642532998177312
func_dec: saa7164,0.5633006547396744
func_dec: qxl,0.5627278657615659
func_dec: cl,0.561210677962589
func_dec: rcfw,0.5608387791057522
func_dec: swiotlb,0.5602449506023806
func_dec: fix,0.5595879932776276
func_dec: goodix,0.5584480137995596
func_dec: sbitmap,0.558419084849196
func_dec: failaddr,0.5573800219897318
func_dec: t4vf,0.5551924233144362
func_dec: index,0.5544411899247574
func_dec: elv,0.550453347746039
func_dec: lpfc,0.5491617584273676
func_dec: pcibios,0.5485286569182131
func_dec: trace,0.5483822940186125
func_dec: lapic,0.5483429353094161
func_dec: ucode,0.5464773463249732
func_dec: rcom,0.5460074413236187
func_dec: int64,0.5444723971525632
func_dec: function,0.5416970146146387
func_dec: isr,0.5411716252680012
func_dec: mma9551,0.5387218016373011
func_dec: platform,0.536218767143482
func_dec: overcommit,0.5359759379529856
func_dec: direct,0.5346326404780694
func_dec: smid,0.5346234281903701
func_dec: wm8350,0.5337009911183951
func_dec: file,0.5333530214107003
func_dec: mmc,0.5333286367564449
func_dec: pullup,0.5314068876542328
func_dec: gpu,0.5310462378914264
func_dec: argc,0.5306151502847218
func_dec: tifm,0.5301182616535007
func_dec: alt,0.5297394855407281
func_dec: modeset,0.5268650105917267
func_dec: class,0.5263487137552828
func_dec: vcn,0.5230180920309812
func_dec: ch,0.5227804277020158
func_dec: area,0.522519982022295
func_dec: ktime,0.521589377813203
func_dec: dim,0.5201793434093113
func_dec: cpuinfo,0.5176596901555788
func_dec: work,0.5172604170974434
func_dec: pinctrl,0.5168464369014616
func_dec: pctldev,0.5168464369014616
func_dec: forget,0.5161661639601356
func_dec: addba,0.5154306752987279
func_dec: context,0.513251050762625
func_dec: matrix,0.512856348659828
func_dec: nvidia,0.5125086326514482
func_dec: Adapter,0.5122247517409224
func_dec: MAX,0.5103933377092656
func_dec: processor,0.5099740432736973
func_dec: ifreq,0.5092475388238193
func_dec: nfcmrvl,0.508888671473317
func_dec: writeable,0.5088291809210995
func_dec: nents,0.508496514058546
func_dec: hcb,0.5069006193137536
func_dec: chk,0.5067327840560228
func_dec: mmap,0.5062519379506104
func_dec: l,0.505260493073394
func_dec: cfi,0.5045985412760349
func_dec: videobuf,0.5038648676182189
func_dec: ccm,0.5034441576369572
func_dec: tio,0.5024570825990695
func_dec: point,0.5020486641613702
func_dec: idle,0.5007994797136348
func_dec: effect,0.500233978331426
func_dec: cqhci,0.5000285948317906
func_dec: efi,0.4981994733330362
func_dec: cmnd,0.4978955558763266
func_dec: ecryptfs,0.49767236401935244
func_dec: isci,0.49667746005772795
func_dec: msi,0.49529235497687574
func_dec: mc13xxx,0.49476595490720265
func_dec: pcie,0.49336196068712385
func_dec: generic,0.4931494392824863
func_dec: where,0.4930753343609492
func_dec: ...,0.4928325653515177
func_dec: mega,0.4925138261773086
func_dec: m,0.4923015544055698
func_dec: freq,0.4917322839196117
func_dec: prep,0.4915511564806461
